Entry Date,Entry Amount,Currency,GL Code,Account Title,Line Description,Vendor,Ref
2026-08-01,6500.00,USD,6305,Rent,Halloway Property Group August rent,Halloway Property Group,RENT-AUG
2026-08-04,980.00,USD,6110,Software Subscriptions,Fernbrook IT Services support retainer,Fernbrook IT Services,FB-90211
2026-08-05,1240.00,USD,6210,Cloud Hosting,Amazon Web Services usage August,Amazon Web Services,INV-2087
2026-08-05,145.00,USD,6520,Parking,Granite Peak Parking monthly pass,Granite Peak Parking,GPP-558
2026-08-07,615.50,USD,6210,Cloud Hosting,Amazon Web Services usage overage,Amazon Web Services,AWS-USG-77531
2026-08-08,985.00,USD,6740,Insurance,Larkspur Insurance premium payable,Larkspur Insurance,INV-2114
2026-08-09,427.50,USD,6610,Software Subscriptions,Tessellate Design seat expansion,Tessellate Design,TD-8842
2026-08-11,2150.00,USD,7410,Marketing,Solstice Marketing campaign spend,Solstice Marketing,SM-1187
2026-08-12,850.00,USD,6310,Payment Processing,Stripe payout reconciliation,Stripe,STRP-PAYOUT-4411
2026-08-13,2300.00,USD,5240,Data Services,Cloudpeak Analytics subscription August,Cloudpeak Analytics,LP-9918
2026-08-15,2300.00,USD,5240,Data Services,Cloudpeak Analytics subscription rebooking,Cloudpeak Analytics,LP-9931
2026-08-15,742.60,USD,6820,Catering,Orchard Lane Catering offsite late posting,Orchard Lane Catering,CAT-7712
2026-08-17,560.00,USD,6910,Training,Pinehurst Training workshop fees,Pinehurst Training,PH-664
2026-08-21,310.75,USD,6410,Utilities,Ravenscourt Utilities invoice,Ravenscourt Utilities,UT-33017
2026-08-28,18400.00,USD,6010,Payroll,Beacon Ridge Payroll second half August,Beacon Ridge Payroll,PR-AUG-B
